stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code
"2046133","2046133","Brent St Near Undine St","-33.8605788092444","151.143588012447","","","0",""
"2564111","2564111","Glenquarie Shops Brooks St Near First Av","-33.9861861933081","150.89014583307","","","0",""
"2121126","2121126","Ray Rd Near Ridge Rd","-33.7689607974906","151.061949352033","","","0",""
"278414","278414","Major Ser Kalinda Rd","-33.7245786361678","150.411996862915","","","0",""
"2529181","2529181","Jindabyne Rd Near Burrinjuck Av","-34.5850126229635","150.851541264475","","","0",""
"2759190","2759190","Coonawarra Dr Near Arundel Park Dr","-33.7983915763735","150.796916599127","","","0",""
"277796","277796","Hawkesbury And Moore Rds","-33.6931739505945","150.575721728076","","","0",""
"277786","277786","Cnr Heather Rd And Hawkesbury Rd","-33.674675129066","150.606560291972","","","0",""
"2145359","2145359","Braeside Rd Near Jonathan St","-33.8234677694237","150.954483423012","","","0",""
"2145259","2145259","Melrose Elderly Peoples Village, Bungaree Rd","-33.799583786619","150.958563762079","","","0",""
"2145159","2145159","Targo Rd After Oramzi Rd","-33.7937584567779","150.951118033298","","","0",""
"277736","277736","77 Bee Farm Rd","-33.7097236542954","150.560049073203","","","0",""
"277726","277726","Springwood Nursing Home Great Western Hwy","-33.6977532853773","150.552599939044","","","0",""
"277716","277716","Eastlea Av Near Plateau Rd","-33.6939762347236","150.55450367478","","","0",""
"2145559","2145559","Westmead Hospital, T-Way","-33.8062582768174","150.98797275067","","","0",""
"277776","277776","Flood Sign Hawkesbury Rd Before Wren Pl","-33.672265062092","150.612851546391","","","0",""
"277766","277766","Hawkesbury Rd Near Ellison Rd","-33.6878902281433","150.585432089129","","","0",""
"277756","277756","Grange Rd Near Huntley","-33.6897036559666","150.570445861721","","","0",""
"277746","277746","Westpac Bank Macquarie Rd Near Blend St","-33.698937215943","150.565609477766","","","0",""
"2575116","2575116","Lyell St Near Old Bowral Rd","-34.4541655387573","150.430319650735","","","0",""
"2564107","2564107","Longpoint Turnaround Kingdon Pde Near Wills Rd","-34.0164875940539","150.898476864854","","","0",""
"2145459","2145459","Old Prospect Rd After Jersey Rd","-33.8174119318663","150.963466960307","","","0",""
"2046107","2046107","Ramsay Rd Near Connecticut Av","-33.871717315304","151.132277683569","","","0",""
"2233247","2233247","Yarrawarrah Shopping Centre Engadine, Near Wheatle","-34.0585677742653","151.028805793298","","","0",""
"2233147","2233147","Marton Public School Kingswood Rd","-34.0473412718776","151.024669288426","","","0",""
"2232151","2232151","Woronora RSL Prince Edward Park Rd","-34.0300203139094","151.042031483204","","","0",""
"2263189","2263189","Lake Haven Shops Stand 3","-33.2417958540829","151.50511279207","","","0",""
"2287357","2287357","Croudace Rd Near Lake Rd","-32.9135980358436","151.66208553658","","","0",""
"2287157","2287157","Wilkinson Av Near Moore St","-32.8961675276481","151.693309889592","","","0",""
"2262195","2262195","87 Woolana Av After Ulana Av","-33.2241860707803","151.548775945","","","0",""
"231739","231739","117 Salamander Way","-32.7397852997018","152.095811914241","","","0",""
"231729","231729","Soldiers Point Rd After Fleet St","-32.7173993129214","152.07426176028","","","0",""
"231719","231719","Bagnall Beach Rd Before Sandy Point Rd","-32.7346666486275","152.109574244849","","","0",""
"231769","231769","Port Stephens Dr After Kanimbla Dr","-32.7358391198989","152.082576290885","","","0",""
"231759","231759","Soldiers Point Rd Before Seaview Cr","-32.7136061944613","152.072746763128","","","0",""
"231749","231749","84 Salamander Way","-32.7381965831375","152.088826931818","","","0",""
"2115101","2115101","Stewart St Near King St","-33.7973541741891","151.060820777163","","","0",""
"2759184","2759184","Solander Dr Near Cameo Cr","-33.7967909059232","150.773930316911","","","0",""
"2575102","2575102","Church Av","-34.4024002272954","150.49512625332","","","0",""
"2145247","2145247","Burrabogee Rd Opp Birtles Av","-33.7966297021809","150.961039475982","","","0",""
"2163169","2163169","Villawood Post Office, Near Villawood Pl","-33.8829774564243","150.975965209747","","","0",""
"2145147","2145147","Mandoon Rd At Mansfield St","-33.8066460844765","150.946842967744","","","0",""
"2145447","2145447","Gozo Rd Near Whalans Rd","-33.8254137115459","150.93649936115","","","0",""
"2575108","2575108","Lyell St And Old Bowral Rd","-34.4541998713526","150.43005994007","","","0",""
"2162115","2162115","Campbell Hill Rd Near Biara St","-33.8788022597961","150.998306977116","","","0",""
"2750329","2750329","Jamieson St Near Grey St","-33.7516544198776","150.649908370706","","","0",""
"2750229","2750229","Castlereagh Rd After Andrews Rd","-33.7316383342412","150.69439414278","","","0",""
"2750429","2750429","Nepean Square Penrith, Opp 98 Woodriff St","-33.7588880924978","150.69207929975","","","0",""
"2232265","2232265","Kirrawee Station, Oak Rd","-34.0347100593686","151.07107546377","","","0",""
"2750323","2750323","Lenox Shopping Centre Pyramid St","-33.7520545167711","150.659516675077","","","0",""
"2750223","2750223","Derby St Near Hand Av","-33.7585795632208","150.701765834865","","","0",""
"2750123","2750123","Mountainview Nursing Home","-33.7545375153091","150.68628223731","","","0",""
"2750523","2750523","171 Jamison Rd Opp Penrith South PS","-33.7628931378238","150.701271755167","","","0",""
"2750423","2750423","Tukara Rd And Jason Av","-33.7802940919613","150.697110633113","","","0",""
"2287263","2287263","Murnin St Near Cowper St","-32.9027526388958","151.670742146988","","","0",""
"2287163","2287163","Rae St Opp Heritage Pl","-32.8918694043315","151.689271045129","","","0",""
"2161107","2161107","Hawksview St Near Chetwynd Rd","-33.8457052180997","150.979137945099","","","0",""
"2220308","2220308","Hillcrest Av Near Grove Av","-33.9750592292475","151.090407202759","","","0",""
"2220108","2220108","Hillcrest Av At Denman St","-33.9711715897295","151.097563800738","","","0",""
"2220306","2220306","Waitara Pde At Jellicoe St","-33.9768350670664","151.093358436406","","","0",""
"2199112","2199112","Glassop St Near Cantrell St","-33.9103636468571","151.012513445607","","","0",""
"2145371","2145371","Old Prospect Rd Near Grafton St","-33.8177960874721","150.934346887302","","","0",""
"2145271","2145271","17 Gardenia Pde","-33.8348531475396","150.937191864331","","","0",""
"2145171","2145171","Jordan St After Lytton St","-33.810207175004","150.97536458632","","","0",""
"2232173","2232173","Woronora Gardens Playtime Centre Acacia Rd North","-34.0243120730473","151.068359661829","","","0",""
"2287175","2287175","Douglas St Near Stapleton St","-32.8977766793113","151.681649402429","","","0",""
"2750317","2750317","Gardenia Av Near Rosemont Av","-33.7498780205959","150.668766999467","","","0",""
"2750217","2750217","Penrith PS And HS, Lethbridge St","-33.7575058021471","150.705409576948","","","0",""
"2750517","2750517","York Before Batt","-33.7685236382603","150.687809856456","","","0",""
"2161133","2161133","Guildford Rd Opp Chetwynd Rd","-33.8523799548632","150.977536316811","","","0",""
"PST1189","","Branxton Station","-32.6622682760787","151.345635296298","1","","0",""
"PST1389","","Bomaderry (Nowra) Station","-34.8537207696854","150.60978184044","1","","1",""
"PST1289","","Liverpool Station","-33.924783420896","150.927311066999","1","","1",""
"PST1183","","Hilldale Station","-32.5045590352991","151.649902897024","1","","0",""
"PST1283","","Guildford Station","-33.8545015941399","150.984374188598","1","","1",""
"2780184","2780184","Great Western Highway Opp Leura Public School","-33.7120791580119","150.336459005768","","","0",""
"275713","275713","Kurmond Shops Bells Line Of Rd","-33.5505188018347","150.689637813488","","","0",""
"2145365","2145365","Gozo Rd Near Whalans Rd","-33.8252548526246","150.936394898792","","","0",""
"2145265","2145265","36 Tulip St","-33.8353591013165","150.945875129436","","","0",""
"2145165","2145165","Oramzi Rd Before Normac Rd","-33.7954112967166","150.945657302714","","","0",""
"2156174","2156174","Grange Rd After Ferncliffe Rd","-33.705587569834","151.004696916349","","","0",""
"2145465","2145465","Hamilton St Near Berkley St","-33.8198808875387","150.973254203083","","","0",""
"2144119","2144119","St Johns School Queen St","-33.8484724913614","151.03006676778","","","0",""
"2144113","2144113","Cumberland Rd South Of Langtry Av, Front Of No 105","-33.8542285195883","151.024613530531","","","0",""
"2763175","2763175","Kennington Av Before Preli Pl","-33.7236105877982","150.896369764914","","","0",""
"2232207","2232207","Linden St Near Leonay St","-34.0254597320834","151.055731579133","","","0",""
"2232107","2232107","Hotham Rd Near Dudley St","-34.0272322232752","151.081907438454","","","0",""
"2750301","2750301","Leonay Pde Near Cliffbrook Cr","-33.7659436519893","150.648831506528","","","0",""
"2750101","2750101","Smith St Near Taloma St","-33.7667826013338","150.701396031933","","","0",""
"2287301","2287301","Croudace Rd Opp Alida Cl","-32.9171098423394","151.67656018066","","","0",""
"2287101","2287101","Callan Av Near Jirra Way","-32.8739646870445","151.660080157241","","","0",""
"279598","279598","Bathurst RSL, Rankin St","-33.4148127455587","149.577625252539","","","0",""
"279588","279588","Ordnance Rd - University Library","-33.4302274567185","149.558618087402","","","0",""
"279568","279568","Howick St And Mitre St","-33.4073985391356","149.571686997786","","","0",""
"279558","279558","Suttor St Near Wark Pde","-33.4043760308746","149.545131641188","","","0",""
"2220120","2220120","37 Waitara Pde","-33.9789472961246","151.09297314482","","","0",""
"2262149","2262149","Colorado Dr - No.100","-33.2118632409616","151.510220040825","","","0",""
"2261255","2261255","Thomas Walker Dr Opp Kinsey Cr","-33.3276617111389","151.437343839713","","","0",""
"2261155","2261155","Eastern Rd At Sherry St","-33.3757577310625","151.456519010721","","","0",""
"2261455","2261455","Swadling St Opp Lindsay St","-33.3621759796901","151.484876656478","","","0",""
"2260467","2260467","Mobbs Rd - No.28 (After Wellesbourne Av)","-33.4401513496624","151.409556782205","","","0",""
"2256198","2256198","Woy Woy Court House, Blackwall Rd","-33.4861191557924","151.32501382612","","","0",""
"2320338","2320338","McKeachie Dr Before Aberglasslyn","-32.7024389948452","151.539206811338","","","0",""
"2320138","2320138","Lorn Butcher Shop Belmore Rd","-32.7275074778523","151.55887522249","","","0",""
"2256192","2256192","Blackwall Rd Near Terry Av","-33.4967672830695","151.32891007655","","","0",""
"2144107","2144107","Cumberland Rd Near Albert Rd","-33.8662852673034","151.0223933235","","","0",""
"2162129","2162129","Merc Shar Ferndell St Near Everley Rd","-33.8702984209192","151.007653355309","","","0",""
"2320136","2320136","Masonic Retirement Village Dunmore Rd","-32.6938515379315","151.602172736758","","","0",""
"2190197","2190197","Boronia Rd Near Hillcrest Av","-33.9056273759691","151.048428133087","","","0",""
"2190199","2190199","Hillcrest Av At Mimosa Rd","-33.9092218315206","151.047355557164","","","0",""
"2213109","2213109","Horsley Rd Near Brighton Av","-33.9495655445512","151.000731889293","","","0",""
"2220334","2220334","Hurstville Station, Ormonde Pde, Stand H","-33.967934999747","151.103020817953","","","0",""
"2230139","2230139","Burraneer Bay Rd Near Dolans Rd South","-34.0522185215052","151.135704336655","","","0",""
"2156118","2156118","Annangrove Rd Opp Aston Rd","-33.6827089993516","150.983823089918","","","0",""
"2261261","2261261","Chittaway Rd At Chittaway Shopping Centre","-33.327105025773","151.429985726722","","","0",""
"2261161","2261161","Adelaide St At Warratta Rd","-33.3590649699147","151.450727883769","","","0",""
"2145303","2145303","138 Macquarie Rd Near Oleander St","-33.8330169032222","150.945292236435","","","0",""
"2145203","2145203","Burrabogee Rd At Binalong Rd","-33.7971261408242","150.963814620742","","","0",""
"2145103","2145103","Dunmore St After Station St","-33.8078670236874","150.971650851532","","","0",""
"2230137","2230137","Burraneer Bay Public School Burraneer Bay Rd","-34.0516798172017","151.132170958352","","","0",""
"2156112","2156112","Annangrove Rd After Angus Rd","-33.6804638546924","151.005297413094","","","0",""
"2145603","2145603","Watkin Tench Pde Near Silverthorne Rd","-33.8239795846802","150.931747798573","","","0",""
"2145503","2145503","Richmond St Near Monterey St","-33.8189144714889","150.972486122597","","","0",""
"2260173","2260173","CC Hwy Opp Pitt Rd","-33.4180665117356","151.446425689307","","","0",""
"2155300","2155300","Samantha Riley Dr Before Redden Dr","-33.7033323153514","150.947473226615","","","0",""
"2155200","2155200","Commercial Rd After McCombe Av","-33.6854893084313","150.926326620748","","","0",""
"2144131","2144131","Chisholm Rd Near Mary St","-33.8508440025397","151.020923071262","","","0",""
"2260179","2260179","Forresters Beach Rd At North Scenic Rd","-33.4064754406309","151.467102127537","","","0",""
"2190183","2190183","Noble Av Near Greenacre Rd","-33.9117446734342","151.051462861033","","","0",""
"2287329","2287329","Jubilee Rd 250m S Of Aries Way","-32.9219643853019","151.664073880134","","","0",""
"2287129","2287129","Callan Av Near Bilbungra Way","-32.8691651346979","151.656893050086","","","0",""
"2213115","2213115","East Hills Station, Maclaurin St","-33.9622685158733","150.984154968684","","","0",""
"2528119","2528119","Madigan Bvd Near Roycroft Av","-34.5525304221347","150.840348670842","","","0",""
"2156206","2156206","Old Northern Rd After Fullers Rd","-33.7075360529319","151.011008465856","","","0",""
"2156106","2156106","Greenbank Dr Before Fullers Rd","-33.7066820094997","150.998181855184","","","0",""
"2528117","2528117","Lawrence Av Near Shipton Cr","-34.5491991101591","150.8379737301","","","0",""
"2168194","2168194","Topnot Av Near Koel St","-33.9237149813181","150.865193969583","","","0",""
"2126109","2126109","New Line Rd Before Purchase Rd","-33.7212911905811","151.034067483427","","","0",""
"2155334","2155334","82 Sanctuary Dr","-33.6991058450453","150.938460882926","","","0",""
"2144125","2144125","Wellington Rd Near Fraser St","-33.8643077272043","151.022246426128","","","0",""
"2320210","2320210","Rutherford High School","-32.7108773022823","151.531834666334","","","0",""
"2320110","2320110","Gillies St Near Young St","-32.7203845343261","151.531261388305","","","0",""
"203835","203835","Parramatta Rd Near Mallett St","-33.8867755066054","151.176229582493","","","0",""
"203825","203825","Booth St Near Johnston St","-33.8814740965199","151.17102318239","","","0",""
"203815","203815","The Crescent At View St","-33.8742889779419","151.174864104369","","","0",""
"2761127","2761127","Doctors Surgery Buckwell Dr Near Dermont St","-33.7284935821455","150.835181401726","","","0",""
"2156130","2156130","254 Annangrove Rd","-33.657261778777","150.94173359272","","","0",""
"2261309","2261309","Wyong Rd Aft Pindarri Av","-33.3525706272745","151.434863252315","","","0",""
"2261209","2261209","CC Hwy At Two Shore Caravan Park","-33.3263089090949","151.511021970862","","","0",""
"2261109","2261109","Northumberland Way Opp Bertram Rd","-33.3718388164266","151.454514900547","","","0",""
"2261509","2261509","Bottlebrush Dr At Bundeena Rd","-33.3362379605362","151.429547344013","","","0",""
"2261409","2261409","Berkeley Vale Retirement Village, Lorraine Av","-33.3385354624577","151.432314988419","","","0",""
"2260115","2260115","Fire Station Terrigal Dr Near Junction Rd","-33.4398252114567","151.437586946571","","","0",""
"2168180","2168180","Hoxton Park Rd Near Mawson Dr","-33.9274866462215","150.881341857389","","","0",""
"2756260","2756260","Wisemans Ferry Rd Near Cliftonville Rd","-33.4803888541529","150.953908180349","","","0",""
"2756160","2756160","Porpoise Cr Near Neilson Cr","-33.6405910338388","150.803843031298","","","0",""
"2745151","2745151","St Andrews Dr Near Sunningdale Dr","-33.7880095866785","150.689855002007","","","0",""
"2320104","2320104","Shell Service Station New England Hwy","-32.7212849019326","151.539726385306","","","0",""
"2761113","2761113","Yarramundi Dr Near Hoyle Dr","-33.7345751278083","150.853141075574","","","0",""
"2303126","2303126","Donald St Near Lawson St","-32.9205308745718","151.750499051595","","","0",""
"2260121","2260121","Terrigal Dr After Serpentine Rd","-33.4385262686986","151.415212651216","","","0",""
"2126121","2126121","New Line Rd After Boundary Rd","-33.7298356891425","151.041973738507","","","0",""
"2756254","2756254","Cattai Rd Near Canning Pl","-33.5748032484525","150.881866199082","","","0",""
"2756154","2756154","Colonial Dr Near Alexander St","-33.6379777820485","150.796811130424","","","0",""
"2745145","2745145","Genmore Pkwy Near Glenquarry Dr","-33.7922575629987","150.689443824959","","","0",""
"2756454","2756454","Wisemans Ferry Rd Before Old Northern Rd","-33.4609213512398","150.993586023966","","","0",""
"2000186","2000186","King St Wharf","-33.8668393615791","151.202075179885","","","0",""
"2530199","2530199","Lucas Dr Near Dawes Ct","-34.4916401546947","150.774341892493","","","0",""
"201890","201890","Dalmeny Av Near Rippon Way","-33.9178637264551","151.207824880302","","","0",""
"201880","201880","Epsom Rd Opp Link Rd","-33.9121787149701","151.212029629088","","","0",""
"2530197","2530197","Horsley Dr Near Robins Creek Rd","-34.4874762034044","150.776406752974","","","0",""
"201830","201830","Harcourt Pde Near Mentmore Av","-33.9200510530826","151.201826391954","","","0",""
"2762109","2762109","St Albans Rd - No.60 (Schofields PS)","-33.6920906046865","150.874289515838","","","0",""
"201820","201820","Gardeners Rd Near Eastern Av","-33.9251729749139","151.218798394234","","","0",""
"201870","201870","King St Near St Helena Pde","-33.931506375847","151.20856178521","","","0",""
"201860","201860","George St Near St Helena Pde","-33.9278517485253","151.210305605158","","","0",""
"201850","201850","Kimberley Gr Near Dalmeny Av","-33.9158733231712","151.207802517167","","","0",""
"201840","201840","Gardeners Rd Near Botany Rd","-33.9214710139179","151.197184087238","","","0",""
"2000298","2000298","Eddy Av Bay 6","-33.8825001358008","151.207035579818","","","0",""
"2000192","2000192","Circular Quay Stand B","-33.8614998322512","151.209621543294","","","0",""
"2756338","2756338","Kurmond Rd And Terrace Rd","-33.5569667169789","150.782246384893","","","0",""
"2756238","2756238","Pitt Town Rd","-33.6043546610633","150.85703329364","","","0",""
"2756232","2756232","Meares St Near Crossley Av","-33.6185338161393","150.840421112724","","","0",""
"2756132","2756132","South Windsor Shops George St","-33.6172904559642","150.807815403333","","","0",""
"2745123","2745123","The Northern Rd Near Elizabeth Dr","-33.8627471811423","150.697932359274","","","0",""
"2000264","2000264","Exhibition Centre Light Rail","-33.8771917495554","151.199699287665","","","0",""
"222996","222996","White Gums Village Port Hacking Rd","-34.0495598167244","151.122336817195","","","0",""
"222986","222986","Crescent Rd Near Illawong Av","-34.0584362889021","151.117192094546","","","0",""
"222936","222936","Kingsway Near Hinkler Av","-34.0369289262479","151.116930151494","","","0",""
"222976","222976","Taronga Pde Near Glassop St","-34.0382473050173","151.124894715245","","","0",""
"222966","222966","Captain Cook Dr Near Crammond Bvd","-34.0322367286747","151.122774355436","","","0",""
"222956","222956","Dianella St Near Willarong St","-34.0378491136723","151.121996516839","","","0",""
"228996","228996","Brunker Rd Near Rifle St","-32.939346367128","151.724704745263","","","0",""
"228986","228986","Glebe Rd Near Gosford Rd","-32.9342381904581","151.726387326132","","","0",""
"228936","228936","Park Av Near St Pius X School","-32.9380444296699","151.715790297421","","","0",""
"228926","228926","Park Av Near Grayson Av","-32.942019850806","151.705222653067","","","0",""
"228916","228916","Myall Rd Near Garden Suburb Primary","-32.9488547379287","151.680873608003","","","0",""
"228966","228966","Park Av Near Bailey St","-32.9353867442535","151.718180602917","","","0",""
"228956","228956","Northcott Dr Near Kinross Av","-32.9466806433573","151.71513869788","","","0",""
"228946","228946","Park Av Near Lexington Pde","-32.9408066161071","151.708726329715","","","0",""
"215894","215894","Jenner Rd After Joyce Pl","-33.7153492432559","151.032258014271","","","0",""
"215834","215834","Old Northern Rd After Cranstons Rd","-33.6522418140899","151.019987803893","","","0",""
"215824","215824","Middle Dural PS Old Northern Rd","-33.6448175397817","151.021904598348","","","0",""
"2756226","2756226","Old Hawkesbury Rd Near Bismarck St","-33.6196417738065","150.842753866755","","","0",""
